participantId,group,lecture_type,practice_type,add_points_n_items,add_points_mean_n_points,add_points_pct_r_correct,add_points_mean_intended_delta_r,add_points_mean_final_r,add_points_mean_delta_r,add_points_mean_abs_delta_r,add_points_mean_final_slope,add_points_mean_delta_slope,add_points_mean_abs_delta_slope,add_points_pct_reached_negative_r
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,3,6,0.6666666666666666,0.11933333333333332,0.05043333333333334,-0.37066666666666664,0.37066666666666664,0.04013333333333333,-0.27546666666666664,0.27546666666666664,0
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,3,6,0.6666666666666666,0.06989999999999999,0.33726666666666666,-0.0838333333333333,0.0838333333333333,0.2813,-0.0343,0.08263333333333334,0
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,3,6,0.6666666666666666,0.12409999999999999,0.3430666666666667,-0.07803333333333329,0.14636666666666667,0.27263333333333334,-0.04296666666666667,0.11256666666666666,0
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,3,6,1,0.34136666666666665,0.30273333333333335,-0.11836666666666662,0.34136666666666665,0.2262,-0.0894,0.18906666666666666,0
69b64051157b8364c2a0afa6,CP,Control,PlotWise,3,6,0.6666666666666666,0.07276666666666662,0.5450666666666667,0.1239666666666667,0.2159,0.4541,0.13849999999999998,0.17603333333333335,0
69baaee936d901eb8e30d457,CP,Control,PlotWise,3,6,1,0.1636,0.06356666666666666,-0.3575333333333333,0.4383333333333333,0.02266666666666667,-0.2929333333333333,0.3556,0
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,3,6,0.6666666666666666,-0.06556666666666669,0.5208,0.09970000000000004,0.16096666666666667,0.36463333333333336,0.04903333333333336,0.08923333333333333,0
69defab23a249a0b519c8f6d,CP,Control,PlotWise,3,6,0.33333333333333337,-0.24723333333333336,0.6733333333333333,0.25223333333333336,0.25223333333333336,0.6176,0.302,0.302,0
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,3,7.333333333333333,0.6666666666666666,0.08023333333333335,-0.3091333333333333,-0.7302333333333333,0.7302333333333333,-0.2885333333333333,-0.6041333333333333,0.6041333333333333,1
69e696140295abac7fb9c28b,CP,Control,PlotWise,3,6,0.6666666666666666,0.07133333333333333,0.29823333333333335,-0.12286666666666665,0.12286666666666665,0.21359999999999998,-0.102,0.102,0
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,3,6,0.33333333333333337,-0.044966666666666696,0.5933333333333334,0.17223333333333338,0.17223333333333338,0.4682,0.15259999999999999,0.15259999999999999,0
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,3,7.333333333333333,0.33333333333333337,-0.0721,0.7903333333333333,0.36923333333333336,0.36923333333333336,0.5215,0.2059,0.2059,0
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,3,6,0.6666666666666666,0.03693333333333332,0.40703333333333336,-0.014066666666666616,0.1302666666666667,0.31703333333333333,0.0014333333333333559,0.0911,0
