participantId,group,lecture_type,practice_type,prior_correlation,prior_slope,prior_total,value_estimation_performance,value_correlation_performance,value_slope_performance,add_points_correct_direction,add_points_intended_delta_r,add_points_slope_preservation,n_open_items,open_response_score,open_response_mean,choose_r_pct_correct,choose_r_score,interest_future,interest_maintained,interest_triggered
69e696140295abac7fb9c28b,CP,Control,PlotWise,0.5,0.5,1,-0.23946428571428569,-0.2275,-0.2514285714285714,0.6666666666666666,0.07133333333333333,-0.102,4,2.5,0.625,0.5,1,6,6,6
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,0.5,1,1.5,-0.18205357142857145,-0.25125000000000003,-0.11285714285714288,0.33333333333333337,-0.04496666666666669,-0.1526,4,4,1,0.5,1,5.666666666666667,3.5,3.875
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,0.5,0,0.5,-0.5342857142857143,-0.65,-0.41857142857142854,0.33333333333333337,-0.0721,-0.2059,4,2,0.5,0.5,1,6,3.75,4.125
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,0.5,0.5,1,-0.5004464285714285,-0.48375,-0.5171428571428571,0.6666666666666666,0.03693333333333332,-0.0911,4,1,0.25,0.5,1,5.666666666666667,5.5,5.875
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,1,1,2,-0.3355357142857143,-0.35250000000000004,-0.3185714285714286,0.33333333333333337,-0.11383333333333336,-0.19233333333333333,4,3.5,0.875,0.5,1,6,5.25,5.875
66d88375799e00b593a8655f,PC,PlotWise,Control,0.5,0,0.5,-1.7835714285714288,-0.59,-2.9771428571428573,0.6666666666666666,0.4013666666666667,-0.4126,4,1,0.25,0.5,1,6,5,5.875
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,0.5,0,0.5,-0.11196428571428571,-0.1725,-0.05142857142857143,1,0.12696666666666664,-0.09283333333333332,4,0.5,0.125,0.5,1,2.6666666666666665,1,2
69419e9576aea13f332266ff,PC,PlotWise,Control,0.5,1,1.5,-0.0969642857142857,-0.1725,-0.02142857142857142,1,0.3647,-0.3015,4,2.5,0.625,1,2,5.333333333333333,4.75,4.875
69442e09aea78e142db2e54f,PC,PlotWise,Control,0.5,0.5,1,-0.35294642857142855,-0.35874999999999996,-0.34714285714285714,0.33333333333333337,-0.1585333333333333,-0.4612,4,3,0.75,0.5,1,4.666666666666667,3.5,3.25
69457dc95341cec41fca5695,PC,PlotWise,Control,0.5,0.5,1,-0.30598214285714287,-0.51625,-0.0957142857142857,1,0.3531,-0.29793333333333333,4,4,1,0.5,1,6,4.75,4.75
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,0.5,0.5,1,-0.3409821428571429,-0.65625,-0.02571428571428572,0.6666666666666666,0.38116666666666665,-0.5787,4,2,0.5,0.5,1,6,5.25,5.25
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,0.5,0.5,1,-0.1911607142857143,-0.13375,-0.24857142857142855,1,0.28493333333333337,-0.22043333333333337,4,4,1,0.5,1,5.333333333333333,1.25,2.625
69afafce3f7970642a6dc071,PC,PlotWise,Control,0.5,0,0.5,-0.35026785714285713,-0.5862499999999999,-0.11428571428571428,0.33333333333333337,-0.05886666666666668,-0.14836666666666667,4,4,1,0.5,1,4.333333333333333,3.25,3.125
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,0.5,1,1.5,-0.22125,-0.4025,-0.03999999999999999,1,0.4570666666666667,-0.3402,4,2.5,0.625,0.5,1,6,5,5.25
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,1,1,2,-0.22482142857142856,-0.1825,-0.2671428571428571,1,0.16373333333333331,-0.11276666666666668,4,3.5,0.875,0.5,1,6,5,5.75
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,1,1,2,-0.10526785714285716,-0.12625,-0.08428571428571431,1,0.3133,-0.22853333333333337,4,3.5,0.875,0.5,1,6,4,1.75
69c13c0ad9ea03501703d527,PC,PlotWise,Control,0,1,1,-0.11812500000000001,-0.16625,-0.06999999999999999,0.6666666666666666,0.22303333333333333,-0.1782,4,2.5,0.625,0.5,1,5,4.25,4
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,0,0,0,-0.33267857142857143,-0.2625,-0.40285714285714286,0.6666666666666666,0.10946666666666664,-0.23813333333333336,4,0.5,0.125,0.5,1,5.333333333333333,1.75,3
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,0.5,1,1.5,-0.14250000000000002,-0.225,-0.06,1,0.23066666666666663,-0.20103333333333331,4,3.5,0.875,0.5,1,6,2.75,3.25
69e913482ae5864d44e6387c,PC,PlotWise,Control,0.5,1,1.5,-0.20642857142857146,-0.20000000000000004,-0.21285714285714288,0.33333333333333337,-0.05203333333333336,-0.1715,4,2,0.5,0.5,1,6,5,5
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,0.5,1,1.5,-0.4741964285714286,-0.29125,-0.6571428571428571,0.6666666666666666,0.06046666666666667,-0.088533333333333325,4,4,1,1,2,6,6,5.375
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,0.5,1,1.5,-0.23651785714285714,-0.13874999999999998,-0.3342857142857143,1,0.23646666666666663,-0.34049999999999997,4,4,1,0.5,1,6,4.25,4.375
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,0.5,0.5,1,-0.328125,-0.49625,-0.16,0.6666666666666666,0.13526666666666667,-0.15916666666666665,4,4,1,0.5,1,6,3.5,4.25
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,0.5,0,0.5,-0.2619642857142857,-0.13249999999999998,-0.39142857142857146,0.6666666666666666,0.13113333333333332,-0.09596666666666666,4,3,0.75,0.5,1,4.666666666666667,1.5,1.375
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,1,0,1,-0.2716,-0.3775,-0.1657,1,0.2556333333333333,-0.18506666666666663,4,3,0.75,0.5,1,5.333333333333333,5,5.125
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,0.5,1,1.5,-0.12071428571428572,-0.13,-0.11142857142857145,1,0.2504,-0.26739999999999997,4,4,1,0.5,1,6,4.75,5.125
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,0.5,1,1.5,-0.35866071428571433,-0.52875,-0.18857142857142856,1,0.36926666666666663,-0.27493333333333336,4,3,0.75,0.5,1,6,4,4.25
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,0.5,0.5,1,-0.39267857142857143,-0.4025,-0.3828571428571429,0.6666666666666666,0.11743333333333332,-0.12376666666666666,4,1,0.25,0.5,1,4.666666666666667,3.75,4.125
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,0.5,1,1.5,-0.08580357142857142,-0.10374999999999998,-0.06785714285714287,1,0.32556666666666667,-0.23826666666666663,4,4,1,0.5,1,6,5.25,5.625
67204af156acf704058c6e66,PP,PlotWise,PlotWise,0.5,0.5,1,-0.26401785714285714,-0.20375,-0.3242857142857143,1,0.27090000000000003,-0.2619,4,2.5,0.625,0.5,1,4.666666666666667,3.5,4
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,0.5,1,1.5,-0.11678571428571427,-0.105,-0.12857142857142856,0.6666666666666666,-0.05753333333333334,-0.4253,4,3.5,0.875,0.5,1,6,4.25,5.125
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,0.5,1,1.5,-0.345,-0.33,-0.36,0.6666666666666666,0.01363333333333333,-0.12403333333333331,4,3.5,0.875,0.5,1,2,1,1
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,0.5,0,0.5,-0.4232142857142857,-0.435,-0.4114285714285714,0.33333333333333337,0.07136666666666666,-0.30296666666666666,4,0,0,0.5,1,1,1,1
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,0.5,0.5,1,-0.13830357142857141,-0.17375000000000002,-0.10285714285714284,1,0.2416333333333333,-0.22643333333333332,4,4,1,1,2,6,5,5.75
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,0.5,0.5,1,-0.20142857142857146,-0.24000000000000005,-0.16285714285714287,1,0.3918333333333333,-0.39796666666666664,4,0,0,0.5,1,5.666666666666667,6,4.75
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,0.5,0.5,1,-0.3365,-0.495,-0.178,0.6666666666666666,0.18513333333333337,-0.32043333333333335,4,2,0.5,0.5,1,4.666666666666667,4.5,4.125
69d6384637b632d34190012d,PP,PlotWise,PlotWise,0.5,0.5,1,-0.3682142857142857,-0.27499999999999997,-0.46142857142857147,1,0.2650333333333333,-0.18956666666666663,4,3,0.75,1,2,6,6,6
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,1,1,2,-0.26303571428571426,-0.2975,-0.22857142857142856,1,0.10333333333333332,-0.1134,4,4,1,0.5,1,5.333333333333333,2.75,3
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,1,0.5,1.5,-0.15696428571428572,-0.10250000000000004,-0.21142857142857144,0.6666666666666666,0.07953333333333333,-0.06879999999999999,4,3.5,0.875,0.5,1,6,5.75,6
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,0.5,1,1.5,-0.36214285714285716,-0.5800000000000001,-0.14428571428571427,1,0.3867333333333333,-0.30490000000000006,4,3,0.75,0.5,1,5.666666666666667,4.25,4.875
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,0.5,0.5,1,-0.36250000000000004,-0.265,-0.46,1,0.0897,-0.0711,4,1.5,0.375,0.5,1,6,3.75,5.375
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,1,0.5,1.5,-0.12071428571428572,-0.12,-0.12142857142857144,1,0.2291,-0.1848333333333333,4,3,0.75,0.5,1,6,4.5,4.5
