participantId,group,lecture_type,practice_type,interest_futureInterestSurvey__interest_any_study,interest_futureInterestSurvey__interest_dynamic_vis_study,interest_futureInterestSurvey__interest_statistics_study,interest_futureInterestSurvey__windowEvents,interest_maintainedSituationalInterest__msi_enjoyed_learning,interest_maintainedSituationalInterest__msi_excited,interest_maintainedSituationalInterest__msi_interesting_corrslope,interest_maintainedSituationalInterest__msi_interesting_stats,interest_maintainedSituationalInterest__windowEvents,interest_triggeredSituationalInterest__tsi_boring_video,interest_triggeredSituationalInterest__tsi_enjoyed_learning,interest_triggeredSituationalInterest__tsi_enjoyed_session,interest_triggeredSituationalInterest__tsi_fun_stats,interest_triggeredSituationalInterest__tsi_fun_video,interest_triggeredSituationalInterest__tsi_session_boring,interest_triggeredSituationalInterest__tsi_session_fun,interest_triggeredSituationalInterest__tsi_session_interesting,interest_triggeredSituationalInterest__windowEvents
69bad0d8d699e854ef8e8184,CC,Control,Control,6,6,6,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":64,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":0,""visibility"":0}",4,4,5,6,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":48,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":0,""visibility"":0}",5,3,6,4,3,3,5,6,"{""focus"":11,""input"":10,""keydown"":0,""keyup"":0,""mousemove"":81,""mousedown"":15,""mouseup"":15,""resize"":0,""scroll"":0,""visibility"":0}"
69c440c36f9c43fe1266a56b,CC,Control,Control,5,5,5,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":42,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":0,""visibility"":0}",2,2,2,5,"{""focus"":6,""input"":5,""keydown"":0,""keyup"":0,""mousemove"":53,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":0,""visibility"":0}",5,2,3,5,1,6,2,6,"{""focus"":10,""input"":9,""keydown"":0,""keyup"":0,""mousemove"":97,""mousedown"":12,""mouseup"":12,""resize"":0,""scroll"":0,""visibility"":0}"
69c59eeb6b373bc928a1aba9,CC,Control,Control,6,3,3,"{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":37,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":3,""visibility"":0}",4,3,3,4,"{""focus"":0,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":51,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":1,""visibility"":0}",2,5,5,4,4,2,5,6,"{""focus"":0,""input"":11,""keydown"":0,""keyup"":0,""mousemove"":142,""mousedown"":16,""mouseup"":16,""resize"":0,""scroll"":39,""visibility"":0}"
69d5bc72bf90388665397b6e,CC,Control,Control,5,5,4,"{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":40,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":2,""visibility"":0}",5,2,4,3,"{""focus"":0,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":43,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":1,""visibility"":0}",3,5,4,5,3,2,4,5,"{""focus"":0,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":90,""mousedown"":11,""mouseup"":11,""resize"":0,""scroll"":8,""visibility"":0}"
69e293f57120947b9a8408de,CC,Control,Control,6,6,6,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":66,""mousedown"":6,""mouseup"":6,""resize"":0,""scroll"":3,""visibility"":0}",6,5,5,5,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":48,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":3,""visibility"":0}",2,6,5,6,5,1,6,6,"{""focus"":9,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":130,""mousedown"":18,""mouseup"":18,""resize"":0,""scroll"":13,""visibility"":0}"
69e7ac40430645b3492b7f1b,CC,Control,Control,6,6,4,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":39,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":1,""visibility"":0}",3,1,2,5,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":42,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":1,""visibility"":0}",5,3,3,3,2,1,5,4,"{""focus"":9,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":67,""mousedown"":12,""mouseup"":12,""resize"":0,""scroll"":2,""visibility"":0}"
69e96cde65aa9df15260c718,CC,Control,Control,6,6,4,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":47,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":3,""visibility"":0}",2,2,2,4,"{""focus"":6,""input"":5,""keydown"":0,""keyup"":0,""mousemove"":51,""mousedown"":8,""mouseup"":8,""resize"":0,""scroll"":1,""visibility"":0}",5,5,2,4,4,5,2,2,"{""focus"":11,""input"":10,""keydown"":0,""keyup"":0,""mousemove"":102,""mousedown"":11,""mouseup"":11,""resize"":0,""scroll"":4,""visibility"":0}"
69e9f6a993985bfec2114d70,CC,Control,Control,2,4,2,"{""focus"":1,""input"":0,""keydown"":3,""keyup"":1,""mousemove"":20,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":4,""visibility"":0}",2,1,2,3,"{""focus"":5,""input"":4,""keydown"":5,""keyup"":2,""mousemove"":24,""mousedown"":8,""mouseup"":8,""resize"":0,""scroll"":5,""visibility"":0}",5,3,4,4,3,2,4,3,"{""focus"":13,""input"":12,""keydown"":6,""keyup"":3,""mousemove"":66,""mousedown"":22,""mouseup"":22,""resize"":0,""scroll"":14,""visibility"":0}"
69eae5f4f5ce43d5a34d388f,CC,Control,Control,6,3,3,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":45,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":7,""visibility"":0}",2,2,2,2,"{""focus"":6,""input"":5,""keydown"":0,""keyup"":0,""mousemove"":59,""mousedown"":12,""mouseup"":12,""resize"":0,""scroll"":5,""visibility"":0}",5,2,3,3,5,5,2,4,"{""focus"":10,""input"":9,""keydown"":0,""keyup"":0,""mousemove"":88,""mousedown"":15,""mouseup"":15,""resize"":0,""scroll"":9,""visibility"":0}"
69ecc0e01df33a8b5fa811f2,CC,Control,Control,6,6,6,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":44,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":0,""visibility"":0}",5,4,5,6,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":24,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":0,""visibility"":0}",2,6,5,5,2,2,6,5,"{""focus"":10,""input"":9,""keydown"":0,""keyup"":0,""mousemove"":59,""mousedown"":11,""mouseup"":11,""resize"":0,""scroll"":0,""visibility"":0}"
