participantId,group,lecture_type,practice_type,trialId,responseId,responsePrompt,answer,answer_num,answer_scored,scale_type,question_label,reverse,duration,cleanedDuration
65ccca52871269168cc029b5,CC,Control,Control,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,1,1,1,MSI,Enjoyed learning about correlation and slope,FALSE,8374,8374
65ccca52871269168cc029b5,CC,Control,Control,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",1,1,1,MSI,Excited about correlation and slope,FALSE,8374,8374
65ccca52871269168cc029b5,CC,Control,Control,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,2,2,2,MSI,Correlation and slope are interesting,FALSE,8374,8374
65ccca52871269168cc029b5,CC,Control,Control,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,2,2,2,MSI,Statistics is interesting,FALSE,8374,8374
65ccca52871269168cc029b5,CC,Control,Control,triggeredSituationalInterest,tsi_boring_video,The correlation and slope video was boring,6,6,1,TSI,Video was boring,TRUE,13083,13083
65ccca52871269168cc029b5,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_learning,I've enjoyed learning new things,2,2,2,TSI,Enjoyed learning new things,FALSE,13083,13083
65ccca52871269168cc029b5,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_session,I've enjoyed this session,2,2,2,TSI,Enjoyed this session,FALSE,13083,13083
65ccca52871269168cc029b5,CC,Control,Control,triggeredSituationalInterest,tsi_fun_stats,It's been fun to learn about statistics this way,1,1,1,TSI,Fun to learn about statistics this way,FALSE,13083,13083
65ccca52871269168cc029b5,CC,Control,Control,triggeredSituationalInterest,tsi_fun_video,It was fun to watch the video,2,2,2,TSI,Video was fun,FALSE,13083,13083
65ccca52871269168cc029b5,CC,Control,Control,triggeredSituationalInterest,tsi_session_boring,This session has been boring,6,6,1,TSI,Session was boring,TRUE,13083,13083
65ccca52871269168cc029b5,CC,Control,Control,triggeredSituationalInterest,tsi_session_fun,This session has been fun,1,1,1,TSI,Session was fun,FALSE,13083,13083
65ccca52871269168cc029b5,CC,Control,Control,triggeredSituationalInterest,tsi_session_interesting,This session has been interesting,2,2,2,TSI,Session was interesting,FALSE,13083,13083
663eb286696a0a72e8f06e0f,CC,Control,Control,futureInterestSurvey,interest_any_study,NA,6,6,6,FutureInterest,Interested in any study,FALSE,9618,9618
663eb286696a0a72e8f06e0f,CC,Control,Control,futureInterestSurvey,interest_dynamic_vis_study,NA,6,6,6,FutureInterest,Interested in a dynamic visualization study,FALSE,9618,9618
663eb286696a0a72e8f06e0f,CC,Control,Control,futureInterestSurvey,interest_statistics_study,NA,6,6,6,FutureInterest,Interested in a statistics study,FALSE,9618,9618
663eb286696a0a72e8f06e0f,CC,Control,Control,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,5,5,5,MSI,Enjoyed learning about correlation and slope,FALSE,12718,12718
663eb286696a0a72e8f06e0f,CC,Control,Control,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",3,3,3,MSI,Excited about correlation and slope,FALSE,12718,12718
663eb286696a0a72e8f06e0f,CC,Control,Control,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,4,4,4,MSI,Correlation and slope are interesting,FALSE,12718,12718
663eb286696a0a72e8f06e0f,CC,Control,Control,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,2,2,2,MSI,Statistics is interesting,FALSE,12718,12718
663eb286696a0a72e8f06e0f,CC,Control,Control,triggeredSituationalInterest,tsi_boring_video,The correlation and slope video was boring,1,1,6,TSI,Video was boring,TRUE,20947,20947
663eb286696a0a72e8f06e0f,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_learning,I've enjoyed learning new things,6,6,6,TSI,Enjoyed learning new things,FALSE,20947,20947
663eb286696a0a72e8f06e0f,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_session,I've enjoyed this session,6,6,6,TSI,Enjoyed this session,FALSE,20947,20947
663eb286696a0a72e8f06e0f,CC,Control,Control,triggeredSituationalInterest,tsi_fun_stats,It's been fun to learn about statistics this way,5,5,5,TSI,Fun to learn about statistics this way,FALSE,20947,20947
663eb286696a0a72e8f06e0f,CC,Control,Control,triggeredSituationalInterest,tsi_fun_video,It was fun to watch the video,6,6,6,TSI,Video was fun,FALSE,20947,20947
663eb286696a0a72e8f06e0f,CC,Control,Control,triggeredSituationalInterest,tsi_session_boring,This session has been boring,2,2,5,TSI,Session was boring,TRUE,20947,20947
663eb286696a0a72e8f06e0f,CC,Control,Control,triggeredSituationalInterest,tsi_session_fun,This session has been fun,3,3,3,TSI,Session was fun,FALSE,20947,20947
663eb286696a0a72e8f06e0f,CC,Control,Control,triggeredSituationalInterest,tsi_session_interesting,This session has been interesting,6,6,6,TSI,Session was interesting,FALSE,20947,20947
6985cae61f4f48abdf956530,CC,Control,Control,futureInterestSurvey,interest_any_study,NA,6,6,6,FutureInterest,Interested in any study,FALSE,14214,14214
