participantId,group,lecture_type,practice_type,n_coded_items,prior_knowledge_score,prior_knowledge_mean,correlation_definition_score,slope_definition_score,prior_knowledge_z
69c13c0ad9ea03501703d527,PC,PlotWise,Control,2,1,0.5,0,1,-0.2382286161719838
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,2,0,0,0,0,-2.144057545547854
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,2,1.5,0.75,0.5,1,0.7146858485159514
69e913482ae5864d44e6387c,PC,PlotWise,Control,2,1.5,0.75,0.5,1,0.7146858485159514
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,2,1.5,0.75,0.5,1,0.7146858485159514
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,2,1.5,0.75,0.5,1,0.7146858485159514
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,2,0.5,0.25,0.5,0,-1.191143080859919
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,2,1,0.5,1,0,-0.2382286161719838
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
67204af156acf704058c6e66,PP,PlotWise,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,2,0.5,0.25,0.5,0,-1.191143080859919
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
69d6384637b632d34190012d,PP,PlotWise,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,2,2,1,1,1,1.6676003132038866
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,2,1.5,0.75,1,0.5,0.7146858485159514
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,2,1.5,0.75,1,0.5,0.7146858485159514
