participantId,group,lecture_type,practice_type,source_file,trialId,responseId,responsePrompt,answer,duration,cleanedDuration,status,percentComplete
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,windowEvents,NA,"{""focus"":6,""input"":4,""keydown"":7,""keyup"":7,""mousemove"":43,""mousedown"":8,""mouseup"":7,""resize"":0,""scroll"":9,""visibility"":0}",NA,NA,NA,NA
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_boring_video,The correlation and slope video was boring,3,34830,34830,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_enjoyed_learning,I've enjoyed learning new things,6,34830,34830,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_enjoyed_session,I've enjoyed this session,6,34830,34830,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_fun_stats,It's been fun to learn about statistics this way,6,34830,34830,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_fun_video,It was fun to watch the video,5,34830,34830,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_session_boring,This session has been boring,1,34830,34830,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_session_fun,This session has been fun,5,34830,34830,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_session_interesting,This session has been interesting,6,34830,34830,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,windowEvents,NA,"{""focus"":8,""input"":8,""keydown"":10,""keyup"":8,""mousemove"":54,""mousedown"":11,""mouseup"":12,""resize"":0,""scroll"":10,""visibility"":0}",NA,NA,NA,NA
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_any_study,NA,6,7219,7219,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_dynamic_vis_study,NA,6,7219,7219,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_statistics_study,NA,6,7219,7219,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,futureInterestSurvey,windowEvents,NA,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":16,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":2,""visibility"":0}",NA,NA,NA,NA
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,1,8374,8374,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",1,8374,8374,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,2,8374,8374,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,2,8374,8374,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,windowEvents,NA,"{""focus"":6,""input"":5,""keydown"":0,""keyup"":0,""mousemove"":18,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":3,""visibility"":0}",NA,NA,NA,NA
