participantId,group,lecture_type,practice_type,scale_type,interest_n_items,composite
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,FutureInterest,3,4.666666666666667
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,MSI,4,1.5
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,TSI,8,1.375
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,FutureInterest,3,5.333333333333333
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,MSI,4,5
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,TSI,8,5.125
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,FutureInterest,3,6
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,MSI,4,4.75
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,TSI,8,5.125
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,FutureInterest,3,6
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,MSI,4,4
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,TSI,8,4.25
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,FutureInterest,3,4.666666666666667
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,MSI,4,3.75
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,TSI,8,4.125
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,FutureInterest,3,6
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,MSI,4,5.25
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,TSI,8,5.625
67204af156acf704058c6e66,PP,PlotWise,PlotWise,FutureInterest,3,4.666666666666667
67204af156acf704058c6e66,PP,PlotWise,PlotWise,MSI,4,3.5
67204af156acf704058c6e66,PP,PlotWise,PlotWise,TSI,8,4
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,FutureInterest,3,6
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,MSI,4,4.25
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,TSI,8,5.125
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,FutureInterest,3,2
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,MSI,4,1
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,TSI,8,1
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,FutureInterest,3,1
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,MSI,4,1
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,TSI,8,1
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,FutureInterest,3,6
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,MSI,4,5
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,TSI,8,5.75
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,FutureInterest,3,5.666666666666667
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,MSI,4,6
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,TSI,8,4.75
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,FutureInterest,3,4.666666666666667
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,MSI,4,4.5
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,TSI,8,4.125
69d6384637b632d34190012d,PP,PlotWise,PlotWise,FutureInterest,3,6
69d6384637b632d34190012d,PP,PlotWise,PlotWise,MSI,4,6
69d6384637b632d34190012d,PP,PlotWise,PlotWise,TSI,8,6
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,FutureInterest,3,5.333333333333333
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,MSI,4,2.75
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,TSI,8,3
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,FutureInterest,3,6
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,MSI,4,5.75
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,TSI,8,6
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,FutureInterest,3,5.666666666666667
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,MSI,4,4.25
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,TSI,8,4.875
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,FutureInterest,3,6
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,MSI,4,3.75
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,TSI,8,5.375
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,FutureInterest,3,6
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,MSI,4,4.5
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,TSI,8,4.5
