participantId,group,lecture_type,practice_type,stat_type,n_items,n_valid,n_extreme,mean_abs_error,median_abs_error,mean_abs_error_all,median_abs_error_all,sign_error_rate
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,correlation,8,8,0,0.19375,0.23500000000000004,0.19375,0.23500000000000004,0
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,slope,7,7,0,0.019999999999999997,0.020000000000000018,0.019999999999999997,0.020000000000000018,0
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,correlation,8,8,0,0.44125,0.425,0.44125,0.425,0.25
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,slope,7,7,0,0.4257142857142857,0.47,0.4257142857142857,0.47,0.14285714285714288
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,correlation,8,8,0,0.17875000000000002,0.10499999999999998,0.17875000000000002,0.10499999999999998,0
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,slope,7,7,0,0.41,0.13999999999999996,0.41,0.13999999999999996,0.14285714285714288
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,correlation,8,8,0,0.2,0.17500000000000002,0.2,0.17500000000000002,0
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,slope,7,7,0,0.0742857142857143,0.050000000000000044,0.0742857142857143,0.050000000000000044,0
69b64051157b8364c2a0afa6,CP,Control,PlotWise,correlation,8,8,0,0.23875,0.28,0.23875,0.28,0
69b64051157b8364c2a0afa6,CP,Control,PlotWise,slope,7,7,0,0.37,0.36,0.37,0.36,0
69baaee936d901eb8e30d457,CP,Control,PlotWise,correlation,8,8,0,0.21000000000000002,0.16,0.21000000000000002,0.16,0
69baaee936d901eb8e30d457,CP,Control,PlotWise,slope,7,7,0,0.23857142857142855,0.07,0.23857142857142855,0.07,0
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,correlation,8,8,0,0.23625000000000002,0.25,0.23625000000000002,0.25,0
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,slope,7,7,0,0.2257142857142857,0.24,0.2257142857142857,0.24,0
69defab23a249a0b519c8f6d,CP,Control,PlotWise,correlation,8,8,0,0.64125,0.545,0.64125,0.545,0.625
69defab23a249a0b519c8f6d,CP,Control,PlotWise,slope,7,7,0,0.33,0.33999999999999997,0.33,0.33999999999999997,0.14285714285714288
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,correlation,8,8,0,1.055625,1.06,1.055625,1.06,1
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,slope,7,7,0,0.17714285714285713,0.15000000000000002,0.17714285714285713,0.15000000000000002,0
