participantId,group,lecture_type,practice_type,status,percentComplete,correlation_n_items,slope_n_items,correlation_n_valid,slope_n_valid,correlation_n_extreme,slope_n_extreme,correlation_mean_abs_error,slope_mean_abs_error,correlation_median_abs_error,slope_median_abs_error,correlation_mean_abs_error_all,slope_mean_abs_error_all,correlation_median_abs_error_all,slope_median_abs_error_all,correlation_sign_error_rate,slope_sign_error_rate,choose_r_n_items,choose_r_score,choose_r_pct_correct,add_points_n_items,add_points_mean_n_points,add_points_pct_r_correct,add_points_mean_intended_delta_r,add_points_mean_final_r,add_points_mean_delta_r,add_points_mean_abs_delta_r,add_points_mean_final_slope,add_points_mean_delta_slope,add_points_mean_abs_delta_slope,add_points_pct_reached_negative_r,FutureInterest,MSI,TSI
69bad0d8d699e854ef8e8184,CC,Control,Control,completed,100,8,7,8,7,0,0,0.19625000000000004,0.04285714285714285,0.18500000000000003,0.039999999999999925,0.19625000000000004,0.04285714285714285,0.18500000000000003,0.039999999999999925,0,0,2,1,0.5,3,6,1,0.16979999999999998,0.23223333333333335,-0.18886666666666663,0.3101333333333333,0.17930000000000001,-0.1363,0.24236666666666667,0,6,4.75,4.125
69c440c36f9c43fe1266a56b,CC,Control,Control,completed,100,8,7,8,7,0,0,0.4975,0.36,0.5,0.5,0.4975,0.36,0.5,0.5,0.25,0.14285714285714288,2,0,0,3,6.666666666666667,0.33333333333333337,-0.07556666666666666,0.5156666666666666,0.09456666666666667,0.09456666666666667,0.3653666666666667,0.04976666666666666,0.05416666666666666,0,5,2.75,2.75
69c59eeb6b373bc928a1aba9,CC,Control,Control,completed,100,8,7,8,7,0,0,0.501,0.6371428571428571,0.419,0.7,0.501,0.6371428571428571,0.419,0.7,0.375,0.42857142857142855,2,1,0.5,3,6,0.6666666666666666,0.08429999999999999,0.2846,-0.13649999999999998,0.21763333333333337,0.26003333333333334,-0.05556666666666665,0.22416666666666665,0,4,3.5,4.875
69d5bc72bf90388665397b6e,CC,Control,Control,completed,100,8,7,8,7,0,0,0.1825,0.09285714285714286,0.13499999999999995,0.09999999999999998,0.1825,0.09285714285714286,0.13499999999999995,0.09999999999999998,0,0,2,1,0.5,3,6.666666666666667,0.6666666666666666,-0.07466666666666666,0.5095,0.0884,0.16033333333333333,0.4156,0.10000000000000002,0.10000000000000002,0,4.666666666666667,3.5,4.375
69e293f57120947b9a8408de,CC,Control,Control,completed,100,8,7,8,7,0,0,0.07249999999999998,0.048571428571428564,0.054999999999999966,0.030000000000000027,0.07249999999999998,0.048571428571428564,0.054999999999999966,0.030000000000000027,0,0,2,1,0.5,3,6,0.33333333333333337,-0.09276666666666664,0.3174,-0.10369999999999994,0.6161666666666666,0.40323333333333333,0.08763333333333331,0.7821,0,6,5.25,5.625
69e7ac40430645b3492b7f1b,CC,Control,Control,completed,100,8,7,8,7,0,0,0.5675,0.6828571428571428,0.44500000000000006,0.69,0.5675,0.6828571428571428,0.44500000000000006,0.69,0.5,0.42857142857142855,2,1,0.5,3,6.333333333333333,1,0.10846666666666666,0.4827666666666667,0.0616666666666667,0.10846666666666666,0.44889999999999997,0.1333,0.1447,0,5.333333333333333,2.75,3.5
69e96cde65aa9df15260c718,CC,Control,Control,completed,100,8,7,8,1,0,6,0.49124999999999996,0,0.5,0,0.49124999999999996,48.11857142857143,0.5,44.71,0.375,0,2,1,0.5,3,9.666666666666666,0.6666666666666666,0.14506666666666665,0.19783333333333333,-0.22326666666666664,0.22326666666666664,0.1706,-0.145,0.145,0,5.333333333333333,2.5,2.875
69e9f6a993985bfec2114d70,CC,Control,Control,completed,100,8,7,8,7,0,0,0.33375,0.18142857142857144,0.32,0.20000000000000007,0.33375,0.18142857142857144,0.32,0.20000000000000007,0,0,2,1,0.5,3,6.666666666666667,1,0.24483333333333332,0.2704,-0.15069999999999997,0.2547,0.23353333333333332,-0.08206666666666665,0.19573333333333331,0,2.6666666666666665,2,3.5
69eae5f4f5ce43d5a34d388f,CC,Control,Control,completed,100,8,7,8,7,0,0,0.30874999999999997,0.23857142857142855,0.3,0.21000000000000002,0.30874999999999997,0.23857142857142855,0.3,0.21000000000000002,0,0,2,1,0.5,3,6.666666666666667,0.6666666666666666,-0.019399999999999997,0.6597666666666666,0.2386666666666667,0.24413333333333334,0.5910666666666666,0.27546666666666664,0.2785333333333333,0,4,2,2.875
69ecc0e01df33a8b5fa811f2,CC,Control,Control,completed,100,8,7,8,7,0,0,0.47000000000000003,0.4028571428571429,0.30000000000000004,0.30000000000000004,0.47000000000000003,0.4028571428571429,0.30000000000000004,0.30000000000000004,0.125,0,2,1,0.5,3,6,1,0.3953333333333333,0.22783333333333333,-0.19326666666666667,0.3953333333333333,0.13756666666666667,-0.17803333333333332,0.3397,1,6,5,4.875
